CA,sand.state,state.fips,fips.code,CFPL,zillow.forc,forc.high,hh2000
0,0,01,01097,0,159.7454,0,165101
0,0,01,01097,1,735.757,0,165101
0,0,01,01117,0,67.8369,0,59302
0,0,01,01117,1,477.7105,0,59302
0,1,04,04003,0,54.4248,0,51126
0,1,04,04003,1,474.9314,0,51126
0,1,04,04005,0,30.002,0,53443
0,1,04,04005,1,504.1503,0,53443
0,1,04,04007,0,35.8272,0,28189
0,1,04,04007,1,599.818,0,28189
0,1,04,04009,0,25.4640447917202,0,11430
0,1,04,04009,1,656.5488,0,11430
0,1,04,04012,0,53.996134422751,0,15133
0,1,04,04012,1,553.9586,0,15133
0,1,04,04013,0,210.4817,1,1250231
0,1,04,04013,1,1710.3856,1,1250231
0,1,04,04015,0,172.1578,1,80062
0,1,04,04015,1,1323.4495,1,80062
0,1,04,04017,0,39.6922,0,47413
0,1,04,04017,1,807.18,0,47413
0,1,04,04019,0,96.5294,0,366737
0,1,04,04019,1,978.6435,0,366737
0,1,04,04021,0,345.0717,1,81154
0,1,04,04021,1,2617.1069,1,81154
0,1,04,04023,0,90.2592877296027,0,13036
0,1,04,04023,1,1179.6343,0,13036
0,1,04,04025,0,82.7287,0,81730
0,1,04,04025,1,1014.5515,0,81730
0,1,04,04027,0,92.9377,0,74140
0,1,04,04027,1,889.0938,0,74140
0,0,05,05007,0,10.9137836683405,0,64281
0,0,05,05007,1,139.9902,0,64281
0,0,05,05045,0,10.9232,0,34546
0,0,05,05045,1,151.28,0,34546
0,0,05,05085,0,12.3219682559775,0,20749
0,0,05,05085,1,143.1303,0,20749
0,0,05,05119,0,82.2549,0,161135
0,0,05,05119,1,253.2082,0,161135
0,0,05,05125,0,28.0528,0,33825
0,0,05,05125,1,266.9232,0,33825
0,0,05,05131,0,3.17791943165658,0,49311
0,0,05,05131,1,31.3181473113646,0,49311
1,1,06,06001,0,191.6299,1,540183
1,1,06,06001,1,834.4815,1,540183
1,1,06,06005,0,147.8454,0,15035
1,1,06,06005,1,1115.6229,0,15035
